date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Wolverhampton,E08000031,208441,52803,22947,28741,10241,31391,54712,7606,26.25%,15.06%,13.79%,11.01%,25.33%
2021,Bradford,E08000032,421574,101122,46051,57458,22777,66275,115663,12228,27.44%,15.72%,13.63%,10.92%,23.99%
2021,Calderdale,E08000033,166634,31965,16313,23351,10524,29096,51419,3966,30.86%,17.46%,14.01%,9.79%,19.18%
2021,Kirklees,E08000034,346274,71832,33776,46112,21655,60187,103532,9180,29.90%,17.38%,13.32%,9.75%,20.74%
2021,Leeds,E08000035,658468,119597,60190,79192,34353,120782,228358,15996,34.68%,18.34%,12.03%,9.14%,18.16%
2021,Wakefield,E08000036,287539,70233,31086,42945,18709,46794,69797,7975,24.27%,16.27%,14.94%,10.81%,24.43%
2021,Gateshead,E08000037,161746,34975,16022,22280,11629,27436,45246,4158,27.97%,16.96%,13.77%,9.91%,21.62%
2021,City of London,E09000001,8006,529,223,392,80,708,5939,135,74.18%,8.84%,4.90%,2.79%,6.61%
2021,Barking and Dagenham,E09000002,161746,36796,16752,20367,6260,21819,53791,5961,33.26%,13.49%,12.59%,10.36%,22.75%
2021,Barnet,E09000003,309354,47762,21302,30687,9630,38541,151642,9790,49.02%,12.46%,9.92%,6.89%,15.44%
2021,Bexley,E09000004,195825,35582,21413,28535,10225,32511,61837,5722,31.58%,16.60%,14.57%,10.93%,18.17%
2021,Brent,E09000005,275143,59770,24296,26148,9529,34338,109998,11064,39.98%,12.48%,9.50%,8.83%,21.72%
2021,Bromley,E09000006,265088,36581,23030,35258,10559,39420,113508,6732,42.82%,14.87%,13.30%,8.69%,13.80%
2021,Camden,E09000007,177909,20948,8996,12776,3402,25154,101932,4701,57.29%,14.14%,7.18%,5.06%,11.77%
2021,Croydon,E09000008,310397,49877,28370,38241,11786,45535,127342,9246,41.03%,14.67%,12.32%,9.14%,16.07%
2021,Ealing,E09000009,295371,52925,23821,27461,10012,37920,130981,12251,44.34%,12.84%,9.30%,8.06%,17.92%
2021,Enfield,E09000010,257182,57813,24151,29005,10055,34476,93371,8311,36.31%,13.41%,11.28%,9.39%,22.48%
2021,Greenwich,E09000011,229748,38319,18349,23747,7937,30154,104926,6316,45.67%,13.12%,10.34%,7.99%,16.68%
2021,Hackney,E09000012,209468,35043,12782,17449,4938,24171,109724,5361,52.38%,11.54%,8.33%,6.10%,16.73%
2021,Hammersmith and Fulham,E09000013,154626,18332,7892,11387,3534,20165,89043,4273,57.59%,13.04%,7.36%,5.10%,11.86%
2021,Haringey,E09000014,216000,39921,14732,18392,6781,25260,104270,6644,48.27%,11.69%,8.51%,6.82%,18.48%
2021,Harrow,E09000015,209620,36454,17150,21857,6656,26422,94317,6764,44.99%,12.60%,10.43%,8.18%,17.39%
2021,Havering,E09000016,209730,41947,23453,31228,10778,34125,61921,6278,29.52%,16.27%,14.89%,11.18%,20.00%
2021,Hillingdon,E09000017,241878,43906,23872,28514,10298,35836,90664,8788,37.48%,14.82%,11.79%,9.87%,18.15%
2021,Hounslow,E09000018,228681,42630,21674,23390,8090,28046,95076,9775,41.58%,12.26%,10.23%,9.48%,18.64%
